actor_1_name,actor_2_name,actor_3_name,comb,director_name,genres,movie_title
Bill Murray,Meryl Streep,Helen McCrory,Bill Murray Meryl Streep Helen McCrory Wes Anderson Adventure Animation Comedy Crime Family,Wes Anderson,Adventure Animation Comedy Crime Family,fantastic mr. fox
Angelina Jolie Pitt,Stockard Channing,James Gammon,Angelina Jolie Pitt Stockard Channing James Gammon Stephen Herek Comedy Romance,Stephen Herek,Comedy Romance,life or something like it
Richard Epcar,Michael McKean,Patricia Heaton,Richard Epcar Michael McKean Patricia Heaton John Carpenter Comedy Romance Sci-Fi Thriller,John Carpenter,Comedy Romance Sci-Fi Thriller,memoirs of an invisible man
Mathieu Kassovitz,Jamel Debbouze,Isabelle Nanty,Mathieu Kassovitz Jamel Debbouze Isabelle Nanty Jean-Pierre Jeunet Comedy Romance,Jean-Pierre Jeunet,Comedy Romance,amélie
Mary-Kate Olsen,Bob Saget,Riley Smith,Mary-Kate Olsen Bob Saget Riley Smith Dennie Gordon Comedy Crime Family Romance,Dennie Gordon,Comedy Crime Family Romance,new york minute
Omar Epps,Nia Long,Jane Krakowski,Omar Epps Nia Long Jane Krakowski Charles Shyer Comedy Drama Romance,Charles Shyer,Comedy Drama Romance,alfie
Ted Danson,Tim Blake Nelson,Andrew Daly,Ted Danson Tim Blake Nelson Andrew Daly Ken Kwapis Biography Drama Romance,Ken Kwapis,Biography Drama Romance,big miracle
Alexa PenaVega,Treat Williams,Jonathan Jackson,Alexa PenaVega Treat Williams Jonathan Jackson Ulu Grosbard Drama,Ulu Grosbard,Drama,the deep end of the ocean
Natascha McElhone,Jeffrey Combs,Udo Kier,Natascha McElhone Jeffrey Combs Udo Kier William Malone Crime Horror Thriller,William Malone,Crime Horror Thriller,feardotcom
Josh Hutcherson,Salma Hayek,Patrick Fugit,Josh Hutcherson Salma Hayek Patrick Fugit Paul Weitz Action Adventure Fantasy Thriller,Paul Weitz,Action Adventure Fantasy Thriller,cirque du freak: the vampire's assistant
Justin Theroux,Amber Valletta,Harvey Fierstein,Justin Theroux Amber Valletta Harvey Fierstein Danny DeVito Comedy,Danny DeVito,Comedy,duplex
Bernie Mac,Sean Hayes,Mike Epps,Bernie Mac Sean Hayes Mike Epps Malcolm D. Lee Comedy Drama Music,Malcolm D. Lee,Comedy Drama Music,soul men
M. Emmet Walsh,Jason Robards,Anne Archer,M. Emmet Walsh Jason Robards Anne Archer Jerry Jameson Action Adventure Drama Thriller,Jerry Jameson,Action Adventure Drama Thriller,raise the titanic
Michael Jai White,Daniel von Bargen,Xander Berkeley,Michael Jai White Daniel von Bargen Xander Berkeley Mic Rodgers Action Sci-Fi,Mic Rodgers,Action Sci-Fi,universal soldier: the return
Norman Reedus,Dennis Quaid,Eddie Rouse,Norman Reedus Dennis Quaid Eddie Rouse Christian Alvart Action Horror Mystery Sci-Fi Thriller,Christian Alvart,Action Horror Mystery Sci-Fi Thriller,pandorum
Gary Dourdan,Mekhi Phifer,Tim Guinee,Gary Dourdan Mekhi Phifer Tim Guinee Gary Fleder Drama Mystery Sci-Fi Thriller,Gary Fleder,Drama Mystery Sci-Fi Thriller,impostor
Rufus Sewell,Bridgette Wilson-Sampras,Rupert Graves,Rufus Sewell Bridgette Wilson-Sampras Rupert Graves Christian Duguay Action Adventure Thriller,Christian Duguay,Action Adventure Thriller,extreme ops
Bridgette Wilson-Sampras,Matt Ross,John Aylward,Bridgette Wilson-Sampras Matt Ross John Aylward Jean-Marie Poiré Comedy Fantasy Sci-Fi,Jean-Marie Poiré,Comedy Fantasy Sci-Fi,just visiting
Chris Evans,Benedict Wong,Troy Garity,Chris Evans Benedict Wong Troy Garity Danny Boyle Adventure Sci-Fi Thriller,Danny Boyle,Adventure Sci-Fi Thriller,sunshine
John Gatins,Lou Saliba,Greg Collins,John Gatins Lou Saliba Greg Collins Brian Robbins Comedy Drama,Brian Robbins,Comedy Drama,a thousand words
Eric Idle,Anne Bancroft,Kelly Ripa,Eric Idle Anne Bancroft Kelly Ripa Marc F. Adler Adventure Animation Comedy Fantasy Romance,Marc F. Adler,Adventure Animation Comedy Fantasy Romance,delgo
Ray Winstone,Mark Rylance,Jasmine Trinca,Ray Winstone Mark Rylance Jasmine Trinca Pierre Morel Action Crime Drama Mystery Thriller,Pierre Morel,Action Crime Drama Mystery Thriller,the gunman
Alex Pettyfer,Sophie Okonedo,Ashley Walters,Alex Pettyfer Sophie Okonedo Ashley Walters Geoffrey Sax Action Adventure Family Thriller,Geoffrey Sax,Action Adventure Family Thriller,alex rider: operation stormbreaker
Angelina Jolie Pitt,Fisher Stevens,Lorraine Bracco,Angelina Jolie Pitt Fisher Stevens Lorraine Bracco Iain Softley Comedy Crime Drama Thriller,Iain Softley,Comedy Crime Drama Thriller,hackers
James Brolin,Zan Marolt,Ljubomir Kerekes,James Brolin Zan Marolt Ljubomir Kerekes Richard Shepard Adventure Comedy Drama Romance Thriller War,Richard Shepard,Adventure Comedy Drama Romance Thriller War,the hunting party
Jennifer Jason Leigh,Bill Cobbs,John Mahoney,Jennifer Jason Leigh Bill Cobbs John Mahoney Joel Coen Comedy Fantasy,Joel Coen,Comedy Fantasy,the hudsucker proxy
Jet Li,Takeshi Kaneshiro,Andy Lau,Jet Li Takeshi Kaneshiro Andy Lau Peter Ho-Sun Chan Action Drama History Romance War,Peter Ho-Sun Chan,Action Drama History Romance War,the warlords
Jay Hernandez,Kuno Becker,Jason Scott Lee,Jay Hernandez Kuno Becker Jason Scott Lee Sergey Bodrov Drama History War,Sergey Bodrov,Drama History War,nomad: the warrior
Chris Evans,Ewen Bremner,Kang-ho Song,Chris Evans Ewen Bremner Kang-ho Song Joon-ho Bong Action Drama Sci-Fi Thriller,Joon-ho Bong,Action Drama Sci-Fi Thriller,snowpiercer
Adam Goldberg,Bob Balaban,François Cluzet,Adam Goldberg Bob Balaban François Cluzet Bibo Bergeron Adventure Animation Comedy Fantasy Music Romance,Bibo Bergeron,Adventure Animation Comedy Fantasy Music Romance,a monster in paris
Matthew Broderick,Glenn Morshower,Tim Blake Nelson,Matthew Broderick Glenn Morshower Tim Blake Nelson Jeff Nathanson Comedy,Jeff Nathanson,Comedy,the last shot
Michael Wincott,Bai Ling,David Patrick Kelly,Michael Wincott Bai Ling David Patrick Kelly Alex Proyas Action Drama Fantasy,Alex Proyas,Action Drama Fantasy,the crow
Tamannaah Bhatia,Anushka Shetty,Prabhas,Tamannaah Bhatia Anushka Shetty Prabhas S.S. Rajamouli Action Adventure Drama Fantasy War,S.S. Rajamouli,Action Adventure Drama Fantasy War,baahubali: the beginning
Arliss Howard,Brooklynn Proulx,Michelle Nolden,Arliss Howard Brooklynn Proulx Michelle Nolden Robert Schwentke Drama Fantasy Romance Sci-Fi,Robert Schwentke,Drama Fantasy Romance Sci-Fi,the time traveler's wife
Colin Ferguson,Stephen Collins,Tom Everett Scott,Colin Ferguson Stephen Collins Tom Everett Scott Michael Lehmann Comedy Romance,Michael Lehmann,Comedy Romance,because i said so
Paul Walker,Vin Diesel,Jordana Brewster,Paul Walker Vin Diesel Jordana Brewster Rob Cohen Action Crime Thriller,Rob Cohen,Action Crime Thriller,the fast and the furious
Martin Landau,Catherine O'Hara,Atticus Shaffer,Martin Landau Catherine O'Hara Atticus Shaffer Tim Burton Animation Comedy Family Horror Sci-Fi,Tim Burton,Animation Comedy Family Horror Sci-Fi,frankenweenie
Adam Baldwin,Sean Maher,Michael Hitchcock,Adam Baldwin Sean Maher Michael Hitchcock Joss Whedon Action Adventure Sci-Fi Thriller,Joss Whedon,Action Adventure Sci-Fi Thriller,serenity
Omar Epps,Charles S. Dutton,Tim Daly,Omar Epps Charles S. Dutton Tim Daly Charles S. Dutton Biography Drama Romance Sport,Charles S. Dutton,Biography Drama Romance Sport,against the ropes
Margot Kidder,Robert Vaughn,Jackie Cooper,Margot Kidder Robert Vaughn Jackie Cooper Richard Lester Action Comedy Sci-Fi,Richard Lester,Action Comedy Sci-Fi,superman iii
Robert De Niro,Sylvester Stallone,Oscar Gale,Robert De Niro Sylvester Stallone Oscar Gale Peter Segal Comedy Sport,Peter Segal,Comedy Sport,grudge match
Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao,Takeshi Kaneshiro Tony Chiu Wai Leung Wei Zhao John Woo Action Adventure Drama History War,John Woo,Action Adventure Drama History War,red cliff
Ethan Embry,Mary Lynn Rajskub,Courtney Gains,Ethan Embry Mary Lynn Rajskub Courtney Gains Andy Tennant Comedy Romance,Andy Tennant,Comedy Romance,sweet home alabama
Gerard Butler,John Michael Higgins,Eric Winter,Gerard Butler John Michael Higgins Eric Winter Robert Luketic Comedy Romance,Robert Luketic,Comedy Romance,the ugly truth
Austin Pendleton,Phil Hartman,Max Casella,Austin Pendleton Phil Hartman Max Casella Jonathan Lynn Comedy,Jonathan Lynn,Comedy,sgt. bilko
Steve Buscemi,Alexa PenaVega,Emily Osment,Steve Buscemi Alexa PenaVega Emily Osment Robert Rodriguez Action Adventure Comedy Family Sci-Fi,Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,spy kids 2: island of lost dreams
LeVar Burton,Alan Ruck,Jonathan Frakes,LeVar Burton Alan Ruck Jonathan Frakes David Carson Action Adventure Mystery Sci-Fi Thriller,David Carson,Action Adventure Mystery Sci-Fi Thriller,star trek: generations
Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui,Tony Chiu Wai Leung Hye-kyo Song Elvis Tsui Kar-Wai Wong Action Biography Drama,Kar-Wai Wong,Action Biography Drama,the grandmaster
Robert Pattinson,Christoph Waltz,James Frain,Robert Pattinson Christoph Waltz James Frain Francis Lawrence Drama Romance,Francis Lawrence,Drama Romance,water for elephants
Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston,Joseph Gordon-Levitt Wayne Knight Kristen Johnston unknown Comedy Family Sci-Fi,unknown,Comedy Family Sci-Fi,3rd rock from the sun            
Blythe Auffarth,Bianca Collins,Jiao Xu,Blythe Auffarth Bianca Collins Jiao Xu Yuefeng Song Adventure Animation Family Fantasy,Yuefeng Song,Adventure Animation Family Fantasy,dragon nest: warriors' dawn
Denzel Washington,Vincent Pastore,Deborah Kara Unger,Denzel Washington Vincent Pastore Deborah Kara Unger Norman Jewison Biography Drama Sport,Norman Jewison,Biography Drama Sport,the hurricane
Bill Cobbs,Jeff Kober,Billy Campbell,Bill Cobbs Jeff Kober Billy Campbell Michael Apted Crime Drama Thriller,Michael Apted,Crime Drama Thriller,enough
Sarah Silverman,Anne Bancroft,Jeffrey Jones,Sarah Silverman Anne Bancroft Jeffrey Jones David Mirkin Comedy Crime Romance,David Mirkin,Comedy Crime Romance,heartbreakers
D.B. Woodside,Daniella Alonso,Eduardo Verástegui,D.B. Woodside Daniella Alonso Eduardo Verástegui Andy Fickman Action Comedy Crime,Andy Fickman,Action Comedy Crime,paul blart: mall cop 2
Sonia Braga,Shirley Knight,Kari Matchett,Sonia Braga Shirley Knight Kari Matchett Luis Mandoki Drama Romance,Luis Mandoki,Drama Romance,angel eyes
Jim Belushi,Ken Marino,Kelly Lynch,Jim Belushi Ken Marino Kelly Lynch John Pasquin Comedy Drama,John Pasquin,Comedy Drama,joe somebody
Johnny Depp,Frank Langella,Lena Olin,Johnny Depp Frank Langella Lena Olin Roman Polanski Mystery Thriller,Roman Polanski,Mystery Thriller,the ninth gate
J.K. Simmons,Paul Guilfoyle,Bill Nunn,J.K. Simmons Paul Guilfoyle Bill Nunn Michael Apted Crime Drama Mystery Thriller,Michael Apted,Crime Drama Mystery Thriller,extreme measures
Beth Grant,Dagmara Dominczyk,Matthew Glave,Beth Grant Dagmara Dominczyk Matthew Glave Stephen Herek Drama Music,Stephen Herek,Drama Music,rock star
Jeff Bridges,Jason Marsden,Ethan Embry,Jeff Bridges Jason Marsden Ethan Embry Ridley Scott Adventure Drama,Ridley Scott,Adventure Drama,white squall
Wilford Brimley,Richard Masur,David Clennon,Wilford Brimley Richard Masur David Clennon John Carpenter Horror Mystery Sci-Fi,John Carpenter,Horror Mystery Sci-Fi,the thing
Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine,Vin Diesel Nolan Gerard Funk Bokeem Woodbine David Twohy Action Sci-Fi Thriller,David Twohy,Action Sci-Fi Thriller,riddick
Gregory Scott Cummins,Claudia Stedelin,Ted Markland,Gregory Scott Cummins Claudia Stedelin Ted Markland Jeb Stuart Crime Mystery Thriller,Jeb Stuart,Crime Mystery Thriller,switchback
Tom Skerritt,Usher Raymond,Leonor Varela,Tom Skerritt Usher Raymond Leonor Varela Steve Miner Action Adventure Drama Thriller Western,Steve Miner,Action Adventure Drama Thriller Western,texas rangers
Bill Murray,Toby Jones,Harry Treadaway,Bill Murray Toby Jones Harry Treadaway Gil Kenan Adventure Family Fantasy Sci-Fi,Gil Kenan,Adventure Family Fantasy Sci-Fi,city of ember
Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild,Mike Howard Jeffrey W. Jenkins Bruce Goodchild Paul Thomas Anderson Drama,Paul Thomas Anderson,Drama,the master
Hayden Christensen,Ryan Cartwright,David Walliams,Hayden Christensen Ryan Cartwright David Walliams David Leland Adventure Comedy History Romance,David Leland,Adventure Comedy History Romance,virgin territory
Dennis Quaid,Nicole Beharie,Charles S. Dutton,Dennis Quaid Nicole Beharie Charles S. Dutton Gary Fleder Biography Drama Sport,Gary Fleder,Biography Drama Sport,the express
Chloë Grace Moretz,Maggie Siff,Nick Robinson,Chloë Grace Moretz Maggie Siff Nick Robinson J Blakeson Action Adventure Sci-Fi Thriller,J Blakeson,Action Adventure Sci-Fi Thriller,the 5th wave
Sylvester Stallone,Phylicia Rashad,Graham McTavish,Sylvester Stallone Phylicia Rashad Graham McTavish Ryan Coogler Drama Sport,Ryan Coogler,Drama Sport,creed
Jeremy Renner,Jon Hamm,Owen Burke,Jeremy Renner Jon Hamm Owen Burke Ben Affleck Crime Drama Thriller,Ben Affleck,Crime Drama Thriller,the town
Anna Kendrick,Dennis Quaid,Thomas Lennon,Anna Kendrick Dennis Quaid Thomas Lennon Kirk Jones Comedy Drama Romance,Kirk Jones,Comedy Drama Romance,what to expect when you're expecting
J.K. Simmons,Brad Pitt,Kevin Sussman,J.K. Simmons Brad Pitt Kevin Sussman Ethan Coen Comedy Drama,Ethan Coen,Comedy Drama,burn after reading
Gerard Butler,Anthony Simcoe,Christopher James Baker,Gerard Butler Anthony Simcoe Christopher James Baker Jennifer Flackett Adventure Comedy Family Fantasy,Jennifer Flackett,Adventure Comedy Family Fantasy,nim's island
Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,Chris Hemsworth Olivia Wilde Alexandra Maria Lara Ron Howard Action Biography Drama Sport,Ron Howard,Action Biography Drama Sport,rush
Patton Oswalt,Neil Flynn,Jim Meskimen,Patton Oswalt Neil Flynn Jim Meskimen Paul Thomas Anderson Drama,Paul Thomas Anderson,Drama,magnolia
Bruce Willis,Tracy Morgan,Kevin Pollak,Bruce Willis Tracy Morgan Kevin Pollak Kevin Smith Action Comedy Crime,Kevin Smith,Action Comedy Crime,cop out
Alison Brie,Damon Wayans Jr.,Nicholas Braun,Alison Brie Damon Wayans Jr. Nicholas Braun Christian Ditter Comedy Romance,Christian Ditter,Comedy Romance,how to be single
Morgan Freeman,Michael Roark,Harry Connick Jr.,Morgan Freeman Michael Roark Harry Connick Jr. Charles Martin Smith Drama Family,Charles Martin Smith,Drama Family,dolphin tale
Denzel Washington,Laura Harring,Anne Heche,Denzel Washington Laura Harring Anne Heche Nick Cassavetes Crime Drama Thriller,Nick Cassavetes,Crime Drama Thriller,john q
Peter Greene,Dave Chappelle,Tamala Jones,Peter Greene Dave Chappelle Tamala Jones Les Mayfield Action Comedy Crime Thriller,Les Mayfield,Action Comedy Crime Thriller,blue streak
Laura-Leigh,Molly C. Quinn,Thomas Lennon,Laura-Leigh Molly C. Quinn Thomas Lennon Rawson Marshall Thurber Comedy Crime,Rawson Marshall Thurber,Comedy Crime,we're the millers
Yuliya Snigir,Fedor Bondarchuk,Aleksey Serebryakov,Yuliya Snigir Fedor Bondarchuk Aleksey Serebryakov Fedor Bondarchuk Action Adventure Sci-Fi,Fedor Bondarchuk,Action Adventure Sci-Fi,obitaemyy ostrov
Kathleen Quinlan,M.C. Gainey,J.T. Walsh,Kathleen Quinlan M.C. Gainey J.T. Walsh Jonathan Mostow Action Crime Drama Mystery Thriller,Jonathan Mostow,Action Crime Drama Mystery Thriller,breakdown
Bernie Casey,Klaus Maria Brandauer,Barbara Carrera,Bernie Casey Klaus Maria Brandauer Barbara Carrera Irvin Kershner Action Adventure Thriller,Irvin Kershner,Action Adventure Thriller,never say never again
Charlie McDermott,Collette Wolfe,Crystal Lowe,Charlie McDermott Collette Wolfe Crystal Lowe Steve Pink Comedy Sci-Fi,Steve Pink,Comedy Sci-Fi,hot tub time machine
Morgan Freeman,Taylor Blackwell,Harry Connick Jr.,Morgan Freeman Taylor Blackwell Harry Connick Jr. Charles Martin Smith Drama Family,Charles Martin Smith,Drama Family,dolphin tale 2
Charlize Theron,James Frain,Clarence Williams III,Charlize Theron James Frain Clarence Williams III John Frankenheimer Action Adventure Crime Drama Family Fantasy Romance Thriller,John Frankenheimer,Action Adventure Crime Drama Family Fantasy Romance Thriller,reindeer games
Vin Diesel,Jeff Kober,Larenz Tate,Vin Diesel Jeff Kober Larenz Tate F. Gary Gray Action Crime Drama Thriller,F. Gary Gray,Action Crime Drama Thriller,a man apart
Alexa PenaVega,Virginia Madsen,Craig T. Nelson,Alexa PenaVega Virginia Madsen Craig T. Nelson Rob Reiner Drama History,Rob Reiner,Drama History,ghosts of mississippi
Rick Yune,Reeve Carney,Daniel von Bargen,Rick Yune Reeve Carney Daniel von Bargen Scott Hicks Drama Mystery Romance Thriller,Scott Hicks,Drama Mystery Romance Thriller,snow falling on cedars
Anthony Hopkins,Colin O'Donoghue,Toby Jones,Anthony Hopkins Colin O'Donoghue Toby Jones Mikael Håfström Drama Horror Mystery Thriller,Mikael Håfström,Drama Horror Mystery Thriller,the rite
Blair Underwood,Xander Berkeley,Mason Gamble,Blair Underwood Xander Berkeley Mason Gamble Andrew Niccol Drama Sci-Fi Thriller,Andrew Niccol,Drama Sci-Fi Thriller,gattaca
Stockard Channing,Nathan Lane,John Larroquette,Stockard Channing Nathan Lane John Larroquette Andrew Bergman Biography Comedy Romance,Andrew Bergman,Biography Comedy Romance,isn't she great
Cheryl Hines,Kenan Thompson,Omid Abtahi,Cheryl Hines Kenan Thompson Omid Abtahi Kirk De Micco Adventure Animation Comedy Family Sci-Fi,Kirk De Micco,Adventure Animation Comedy Family Sci-Fi,space chimps
Bernie Mac,Dylan Baker,Tracy Morgan,Bernie Mac Dylan Baker Tracy Morgan Chris Rock Comedy,Chris Rock,Comedy,head of state
Bradley Cooper,Rob Riggle,Mike Epps,Bradley Cooper Rob Riggle Mike Epps Todd Phillips Comedy,Todd Phillips,Comedy,the hangover
Mike Tyson,Lynn Hung,Kwok-Kwan Chan,Mike Tyson Lynn Hung Kwok-Kwan Chan Wilson Yip Action Biography Drama History,Wilson Yip,Action Biography Drama History,ip man 3
Muse Watson,Verne Troyer,Robert Wagner,Muse Watson Verne Troyer Robert Wagner Jay Roach Action Adventure Comedy Crime,Jay Roach,Action Adventure Comedy Crime,austin powers: the spy who shagged me
Michael Gough,Jack Palance,William Hootkins,Michael Gough Jack Palance William Hootkins Tim Burton Action Adventure,Tim Burton,Action Adventure,batman
Jordi Mollà,Dougray Scott,Lily Cole,Jordi Mollà Dougray Scott Lily Cole Roland Joffé Biography Drama War,Roland Joffé,Biography Drama War,there be dragons
Rene Russo,Nick Chinlund,Stuart Wilson,Rene Russo Nick Chinlund Stuart Wilson Richard Donner Action Crime Thriller,Richard Donner,Action Crime Thriller,lethal weapon 3
Catherine Dyer,Quinton Aaron,Kim Dickens,Catherine Dyer Quinton Aaron Kim Dickens John Lee Hancock Biography Drama Sport,John Lee Hancock,Biography Drama Sport,the blind side
Jon Foo,Aimee Garcia,Wendie Malick,Jon Foo Aimee Garcia Wendie Malick unknown Action Comedy Crime,unknown,Action Comedy Crime,rush hour            
Alexa PenaVega,Cheech Marin,Daryl Sabara,Alexa PenaVega Cheech Marin Daryl Sabara Robert Rodriguez Action Adventure Comedy Family Sci-Fi,Robert Rodriguez,Action Adventure Comedy Family Sci-Fi,spy kids
Kevin Spacey,Lindsay Sloane,Reginald Ballard,Kevin Spacey Lindsay Sloane Reginald Ballard Seth Gordon Comedy Crime,Seth Gordon,Comedy Crime,horrible bosses
Matt Damon,Jeff Bridges,Bruce Green,Matt Damon Jeff Bridges Bruce Green Ethan Coen Adventure Drama Western,Ethan Coen,Adventure Drama Western,true grit
Meryl Streep,Anne Hathaway,Rebecca Mader,Meryl Streep Anne Hathaway Rebecca Mader David Frankel Comedy Drama Romance,David Frankel,Comedy Drama Romance,the devil wears prada
Leonard Nimoy,Nichelle Nichols,Walter Koenig,Leonard Nimoy Nichelle Nichols Walter Koenig Robert Wise Adventure Mystery Sci-Fi,Robert Wise,Adventure Mystery Sci-Fi,star trek: the motion picture
Jon Favreau,Eric Stonestreet,T.I.,Jon Favreau Eric Stonestreet T.I. Seth Gordon Comedy Crime,Seth Gordon,Comedy Crime,identity thief
Robert De Niro,Robert Mitchum,Joe Don Baker,Robert De Niro Robert Mitchum Joe Don Baker Martin Scorsese Crime Thriller,Martin Scorsese,Crime Thriller,cape fear
Kevin Spacey,Jim Sturgess,Josh Gad,Kevin Spacey Jim Sturgess Josh Gad Robert Luketic Crime Drama Thriller,Robert Luketic,Crime Drama Thriller,21
Amy Schumer,Randall Park,Josh Segarra,Amy Schumer Randall Park Josh Segarra Judd Apatow Comedy Romance,Judd Apatow,Comedy Romance,trainwreck
Bernie Mac,Nicole Sullivan,Sherri Shepherd,Bernie Mac Nicole Sullivan Sherri Shepherd Kevin Rodney Sullivan Comedy Romance,Kevin Rodney Sullivan,Comedy Romance,guess who
Colin Firth,Kristin Scott Thomas,Jürgen Prochnow,Colin Firth Kristin Scott Thomas Jürgen Prochnow Anthony Minghella Drama Romance War,Anthony Minghella,Drama Romance War,the english patient
Kevin Spacey,Matt McCoy,Paul Guilfoyle,Kevin Spacey Matt McCoy Paul Guilfoyle Curtis Hanson Crime Drama Mystery Thriller,Curtis Hanson,Crime Drama Mystery Thriller,l.a. confidential
Michael Angarano,Kelly Preston,Nicholas Braun,Michael Angarano Kelly Preston Nicholas Braun Mike Mitchell Adventure Comedy Family Sci-Fi,Mike Mitchell,Adventure Comedy Family Sci-Fi,sky high
Tom Selleck,Wilford Brimley,Lauren Ambrose,Tom Selleck Wilford Brimley Lauren Ambrose Frank Oz Comedy,Frank Oz,Comedy,in & out
Natasha Henstridge,Marg Helgenberger,Jordan Lund,Natasha Henstridge Marg Helgenberger Jordan Lund Roger Donaldson Action Horror Sci-Fi Thriller,Roger Donaldson,Action Horror Sci-Fi Thriller,species
Dylan Baker,Jake Weber,James Gammon,Dylan Baker Jake Weber James Gammon Tarsem Singh Horror Sci-Fi Thriller,Tarsem Singh,Horror Sci-Fi Thriller,the cell
Leonardo DiCaprio,Anne Parillaud,Judith Godrèche,Leonardo DiCaprio Anne Parillaud Judith Godrèche Randall Wallace Action Adventure,Randall Wallace,Action Adventure,the man in the iron mask
Scott Glenn,Kevin Connolly,Dylan Walsh,Scott Glenn Kevin Connolly Dylan Walsh Randall Wallace Biography Drama Family History Sport,Randall Wallace,Biography Drama Family History Sport,secretariat
Chris Evans,Sarah Michelle Gellar,Mako,Chris Evans Sarah Michelle Gellar Mako Kevin Munroe Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kevin Munroe,Action Adventure Animation Comedy Family Fantasy Sci-Fi,tmnt
Alfre Woodard,Riley Smith,Debra Winger,Alfre Woodard Riley Smith Debra Winger Michael Tollin Biography Drama Sport,Michael Tollin,Biography Drama Sport,radio
Mila Kunis,Justin Timberlake,Masi Oka,Mila Kunis Justin Timberlake Masi Oka Will Gluck Comedy Romance,Will Gluck,Comedy Romance,friends with benefits
Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons,Chloë Grace Moretz Ike Barinholtz Kiersey Clemons Nicholas Stoller Comedy,Nicholas Stoller,Comedy,neighbors 2: sorority rising
Tom Hanks,Ruth Wilson,B.J. Novak,Tom Hanks Ruth Wilson B.J. Novak John Lee Hancock Biography Comedy Drama History Music,John Lee Hancock,Biography Comedy Drama History Music,saving mr. banks
Denzel Washington,Delroy Lindo,Al Freeman Jr.,Denzel Washington Delroy Lindo Al Freeman Jr. Spike Lee Biography Drama History Romance,Spike Lee,Biography Drama History Romance,malcolm x
Charlyne Yi,Maude Apatow,Mackenzie Aladjem,Charlyne Yi Maude Apatow Mackenzie Aladjem Judd Apatow Comedy,Judd Apatow,Comedy,this is 40
Robin Williams,Bernie Mac,Ann-Margret,Robin Williams Bernie Mac Ann-Margret Walt Becker Comedy Family,Walt Becker,Comedy Family,old dogs
Craig Parker,Kevin Grevioux,Steven Mackintosh,Craig Parker Kevin Grevioux Steven Mackintosh Patrick Tatopoulos Action Adventure Fantasy Sci-Fi Thriller,Patrick Tatopoulos,Action Adventure Fantasy Sci-Fi Thriller,underworld: rise of the lycans
Robin Williams,Christine Taylor,Mindy Kaling,Robin Williams Christine Taylor Mindy Kaling Ken Kwapis Comedy Romance,Ken Kwapis,Comedy Romance,license to wed
Jon Lovitz,Jon Heder,Tim Meadows,Jon Lovitz Jon Heder Tim Meadows Dennis Dugan Comedy Romance Sport,Dennis Dugan,Comedy Romance Sport,the benchwarmers
Stockard Channing,Victor Webster,Elizabeth Perkins,Stockard Channing Victor Webster Elizabeth Perkins Gary David Goldberg Comedy Romance,Gary David Goldberg,Comedy Romance,must love dogs
Johnny Depp,Al Pacino,Anne Heche,Johnny Depp Al Pacino Anne Heche Mike Newell Biography Crime Drama,Mike Newell,Biography Crime Drama,donnie brasco
Milla Jovovich,Jaymes Butler,Colin Salmon,Milla Jovovich Jaymes Butler Colin Salmon Paul W.S. Anderson Action Horror Sci-Fi,Paul W.S. Anderson,Action Horror Sci-Fi,resident evil
J.K. Simmons,Tom Hanks,Stephen Root,J.K. Simmons Tom Hanks Stephen Root Ethan Coen Comedy Crime Thriller,Ethan Coen,Comedy Crime Thriller,the ladykillers
Mila Kunis,Beau Bridges,Jamie Hector,Mila Kunis Beau Bridges Jamie Hector John Moore Action Crime Drama Mystery Thriller,John Moore,Action Crime Drama Mystery Thriller,max payne
Matt Bomer,Olivia Wilde,Justin Timberlake,Matt Bomer Olivia Wilde Justin Timberlake Andrew Niccol Action Sci-Fi Thriller,Andrew Niccol,Action Sci-Fi Thriller,in time
Danneel Ackles,Noureen DeWulf,Tom Bosley,Danneel Ackles Noureen DeWulf Tom Bosley Alan Poul Comedy Romance,Alan Poul,Comedy Romance,the back-up plan
Ashley Williams,Steve Howey,Kirsten Day,Ashley Williams Steve Howey Kirsten Day Luke Greenfield Comedy Drama Romance,Luke Greenfield,Comedy Drama Romance,something borrowed
Jodi Lyn O'Keefe,Kimberly Elise,Logan Browning,Jodi Lyn O'Keefe Kimberly Elise Logan Browning unknown Drama Romance,unknown,Drama Romance,hit the floor            
Tom Wilkinson,Marsha Thomason,Vincent Regan,Tom Wilkinson Marsha Thomason Vincent Regan Gil Junger Adventure Comedy Fantasy,Gil Junger,Adventure Comedy Fantasy,black knight
Tatum O'Neal,Vic Morrow,Joyce Van Patten,Tatum O'Neal Vic Morrow Joyce Van Patten Michael Ritchie Comedy Drama Family Sport,Michael Ritchie,Comedy Drama Family Sport,the bad news bears
Ming-Na Wen,Raul Julia,Kylie Minogue,Ming-Na Wen Raul Julia Kylie Minogue Steven E. de Souza Action Adventure Comedy Thriller,Steven E. de Souza,Action Adventure Comedy Thriller,street fighter
